game_id,turns,w_ctrld_pawn,w_ctrld_knight,w_ctrld_bishop,w_ctrld_rook,w_ctrld_queen,w_ctrld_king,w_preassure_points,w_ctrld_diagonals,w_ctrld_lines,b_ctrld_pawn,b_ctrld_knight,b_ctrld_bishop,b_ctrld_rook,b_ctrld_queen,b_ctrld_king,b_preassure_points,b_ctrld_diagonals,b_ctrld_lines,rated_cod,winner_cod,current_turn_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,moves_fen_cod
17460,71,6,0,0,10,21,4,9,4,7,7,0,0,2,0,3,8,0,5,1,1,0,306,102,1179,109,9,11029
17461,43,14,5,5,12,0,3,11,1,4,13,0,9,13,0,4,10,3,4,1,1,0,102,197,303,36,512,15464
17462,48,8,0,0,0,0,2,3,1,2,12,0,14,9,14,3,13,6,5,1,0,1,19,42,1397,117,0,6466
17463,31,10,13,9,5,0,5,5,2,2,10,0,0,0,0,0,4,3,0,1,1,0,19,70,187,28,608,4596
17464,25,7,10,13,2,18,1,15,4,5,7,0,0,0,0,0,10,3,4,1,1,0,19,70,748,74,468,14951
17465,38,8,0,0,0,0,0,8,3,2,6,12,15,5,15,3,17,7,5,1,0,1,19,151,367,38,529,14677
17466,15,12,6,8,2,14,5,15,4,3,11,1,6,3,0,2,8,1,1,1,1,0,19,70,748,74,468,15032
17467,50,7,0,0,0,0,0,4,2,3,9,4,0,12,14,2,8,2,6,1,0,1,19,236,951,94,132,16163
17468,69,3,0,0,18,16,1,8,2,7,7,0,0,0,15,2,1,1,2,1,1,0,19,143,1284,109,358,627
17469,20,8,9,12,3,10,1,14,6,4,10,12,13,3,8,1,11,5,2,1,0,1,117,194,1146,106,477,14026
17470,102,7,0,4,0,0,1,3,1,0,6,0,9,9,0,2,4,4,1,1,0,1,37,237,958,94,284,9898
17471,83,9,0,4,14,16,7,14,4,5,4,0,0,1,1,3,5,2,4,1,1,0,19,303,452,50,482,4611
17472,57,12,3,0,17,10,1,11,1,5,11,0,0,0,0,2,8,4,1,1,1,0,19,4,1442,127,432,5664
17473,72,5,0,0,1,0,0,4,1,6,8,0,0,13,17,1,9,2,6,1,0,1,19,252,1360,110,150,4198
17474,68,7,0,0,0,0,1,7,2,7,9,0,0,12,14,4,4,1,4,1,0,1,102,70,1380,113,608,4741
17475,55,11,11,0,0,11,3,6,2,3,6,0,0,0,0,0,6,4,2,1,1,0,102,199,491,52,210,258
17477,51,7,12,8,9,14,3,13,3,5,8,0,0,0,0,1,13,2,4,1,1,0,207,194,1132,106,137,15952
17478,67,5,0,8,8,28,3,11,5,6,7,7,0,7,21,1,7,2,7,1,1,0,188,3,59,9,608,47
17479,42,8,0,0,0,0,3,10,4,3,10,0,8,8,16,3,15,5,4,1,0,1,232,80,108,17,608,15825
17480,88,9,0,0,0,0,2,2,2,1,7,4,0,10,0,4,4,0,4,1,0,1,102,70,762,79,608,5489
17481,84,4,0,0,4,0,3,3,3,1,6,0,0,18,0,3,4,0,6,1,0,1,234,224,1068,102,354,8836
17482,93,7,3,0,10,0,4,1,0,2,3,6,0,10,0,3,0,0,3,1,1,0,19,0,533,53,608,5016
17483,100,5,0,0,0,0,2,0,0,0,5,0,0,0,16,8,3,2,3,1,0,1,19,10,242,33,215,10951
17484,41,9,2,7,17,12,2,10,3,7,9,0,0,0,0,0,8,3,4,1,1,0,19,10,220,33,39,17499
17485,56,2,0,0,0,0,0,2,0,3,7,13,0,12,19,5,17,2,4,1,0,1,19,70,134,17,231,3260
